日時,設定,コース,試行,所要時間_秒,ジャイロ_度,ハブ距離_mm,電池_mV,実測距離_mm,向きのズレ_度,終点のズレ_mm,メモ,ログ
2026-09-17 13:33:10,new,straight,1,2.57,0.05,1005,8148,1001,,,,docs/logs/compare/20260917_133310_new_straight.log
2026-09-17 13:34:05,old,straight,1,3.31,-0.55,1000,8147,996,,,,docs/logs/compare/20260917_133405_old_straight.log
2026-09-17 13:34:52,new,straight,2,2.57,0.25,1002,8144,999,,,,docs/logs/compare/20260917_133452_new_straight.log
2026-09-17 13:35:34,old,straight,2,3.32,-0.32,1000,8144,997,,,,docs/logs/compare/20260917_133534_old_straight.log
2026-09-17 13:36:16,new,straight,3,2.56,-0.08,1004,8143,1000,,,,docs/logs/compare/20260917_133616_new_straight.log
2026-09-17 13:37:02,old,straight,3,3.32,-0.75,999,8140,996,,,,docs/logs/compare/20260917_133702_old_straight.log
2026-09-17 13:37:38,new,straight,4,2.56,-0.25,1002,8137,999,,,,docs/logs/compare/20260917_133738_new_straight.log
2026-09-17 13:38:14,old,straight,4,3.34,-0.3,1000,8138,998,,,,docs/logs/compare/20260917_133814_old_straight.log
2026-09-17 13:38:51,new,straight,5,2.57,-0.17,1005,8134,1001,,,,docs/logs/compare/20260917_133851_new_straight.log
2026-09-17 13:39:23,old,straight,5,3.31,-0.39,999,8136,996,,,,docs/logs/compare/20260917_133923_old_straight.log
2026-09-17 13:42:58,new,turn,1,5.48,355.71,-1,8132,,,,除外 回転の打ち消しあり(9/17 の旧仕様・既定を打ち消しなしに変更したため),docs/logs/compare/20260917_134258_new_turn.log
2026-09-17 13:43:55,old,turn,1,4.11,363.14,-5,8125,,,,,docs/logs/compare/20260917_134355_old_turn.log
2026-09-17 13:44:34,new,turn,2,5.48,355.51,-1,8123,,,,除外 回転の打ち消しあり(9/17 の旧仕様・既定を打ち消しなしに変更したため),docs/logs/compare/20260917_134434_new_turn.log
2026-09-17 13:45:02,old,turn,2,4.18,363.12,-5,8120,,,,,docs/logs/compare/20260917_134502_old_turn.log
2026-09-17 13:45:32,new,turn,3,5.48,355.3,0,8124,,,,除外 回転の打ち消しあり(9/17 の旧仕様・既定を打ち消しなしに変更したため),docs/logs/compare/20260917_134532_new_turn.log
2026-09-17 13:45:59,old,turn,3,4.24,363.4,-5,8119,,,,,docs/logs/compare/20260917_134559_old_turn.log
2026-09-17 13:46:26,new,turn,4,5.48,355.07,-1,8119,,,,除外 回転の打ち消しあり(9/17 の旧仕様・既定を打ち消しなしに変更したため),docs/logs/compare/20260917_134626_new_turn.log
2026-09-17 13:46:57,old,turn,4,4.12,363.11,-5,8116,,,,,docs/logs/compare/20260917_134657_old_turn.log
2026-09-17 13:47:28,new,turn,5,5.48,354.87,0,8114,,,,除外 回転の打ち消しあり(9/17 の旧仕様・既定を打ち消しなしに変更したため),docs/logs/compare/20260917_134728_new_turn.log
2026-09-17 13:47:54,old,turn,5,4.25,363.46,-4,8114,,,,,docs/logs/compare/20260917_134754_old_turn.log
2026-09-17 13:52:31,new,turn,6,,,,,,,,,docs/logs/compare/20260917_135231_new_turn.log
2026-09-17 13:52:53,new,turn,7,5.5,358.76,0,8109,,,,,docs/logs/compare/20260917_135253_new_turn.log
2026-09-17 13:53:16,new,turn,8,5.5,358.2,-1,8112,,,,,docs/logs/compare/20260917_135316_new_turn.log
2026-09-17 13:53:37,new,turn,9,5.5,359.18,-1,8109,,,,,docs/logs/compare/20260917_135337_new_turn.log
2026-09-17 13:54:04,new,turn,10,5.5,359.62,-1,8110,,,,,docs/logs/compare/20260917_135404_new_turn.log
2026-09-17 13:55:20,new,turn,11,5.5,359.31,-1,8106,,,,,docs/logs/compare/20260917_135520_new_turn.log
2026-09-17 14:02:49,new,square,1,13.24,359.25,2006,8102,,,,障害物にぶつかったので無効,docs/logs/compare/20260917_140249_new_square.log
2026-09-17 14:04:09,new,square,2,13.26,360.46,2006,8094,,,,障害物にぶつかったので無効,docs/logs/compare/20260917_140409_new_square.log
2026-09-17 14:05:10,new,square,3,13.25,360.54,2008,8087,,,,障害物にぶつかったので無効,docs/logs/compare/20260917_140510_new_square.log
2026-09-17 14:06:28,new,square,4,13.25,360.21,2006,8087,,,50,,docs/logs/compare/20260917_140628_new_square.log
2026-09-17 14:07:50,old,square,1,13.65,361.99,2003,8081,,,50,,docs/logs/compare/20260917_140750_old_square.log
2026-09-17 14:08:36,new,square,5,13.29,360.39,2005,8081,,,42,,docs/logs/compare/20260917_140836_new_square.log
2026-09-17 14:09:20,old,square,2,13.64,363.48,2003,8078,,,42,,docs/logs/compare/20260917_140920_old_square.log
2026-09-17 14:10:01,new,square,6,13.31,359.8,2006,8078,,,44,,docs/logs/compare/20260917_141001_new_square.log
2026-09-17 14:10:46,old,square,3,13.7,363.16,2003,8070,,,41,,docs/logs/compare/20260917_141046_old_square.log
2026-09-17 14:26:44,new,turn,12,5.5,359.0,-1,8069,,,,,docs/logs/compare/20260917_142644_new_turn.log
2026-09-17 15:31:30,new,turn,13,5.5,359.11,-1,8055,,,,,docs/logs/compare/20260917_153130_new_turn.log
